id,url,status,redirect_url,is_domain_for_sale,is_domain_expired,is_domain_parking,is_domain_managed,is_seo_spam,is_admin_panel
4977750,http://300bou.net?,200,http://300bou.net,False,False,False,False,False,False
1255848,http://313.co.jp,200,,False,False,False,False,False,False
3173924,http://3110-r.co.jp/,200,,False,False,False,False,False,False
4617861,http://30f.jp,200,https://30f.jp/,False,False,False,False,False,False
3481504,http://3-j.jp,200,https://3-j.jp/,False,False,True,False,False,False
1631854,http://31colors.jp,200,,False,False,False,False,False,False
5297007,http://3254s.com/index.html,200,,False,False,False,False,False,False
3052309,http://32103.co.jp,200,https://32103.co.jp/,False,False,False,False,False,False
2315816,http://301.co.jp/,200,https://www.301.co.jp/,False,False,True,False,False,False
3815806,http://3110saito.co.jp,200,https://3110saito.co.jp/,False,False,True,False,False,False
4457080,http://3213.jp/,200,,False,False,False,False,False,False
1225804,http://328mitsuwa.co.jp,200,,False,False,False,False,False,False
4550154,http://321836.com/,200,https://321836.com/,False,False,True,False,False,False
2946638,http://33-8080.co.jp/index.html,200,,False,False,True,False,False,False
4410535,http://3310.co.jp,200,,False,False,False,False,False,False
2218933,http://3282103.com,200,https://3282103.com/,False,False,False,False,False,False
4869661,http://3309s.com,200,https://3309s.com/,False,False,False,False,False,False
535608,http://33kai.com/,200,,False,False,True,False,False,False
3892494,http://325yamaguchi.com/company.html?,404,,False,False,False,False,False,False
3300322,http://34-d.jp,200,,False,False,False,False,False,False
2371318,http://333.ne.jp/index.html,404,,False,False,False,False,False,False
2428631,http://359ch.jp,200,,False,False,False,False,False,False
5076849,http://354-4188.com,200,,False,False,False,False,False,False
864106,http://344ltd.co.jp,200,,False,False,False,False,False,False
5212558,http://344.ne.jp/,200,https://344.ne.jp/,False,False,True,False,False,False
2388894,http://3387clinic.com?,200,https://www.3387clinic.com/,False,False,True,False,False,False
105408,http://32lime.com/,200,https://32lime.com/,False,False,True,False,False,False
4546374,http://359groupjapan.com/index.html,200,https://359groupjapan.com/index.html,False,False,False,False,False,False
4617680,http://35kanto.co.jp/,200,https://35kanto.co.jp/,False,False,False,False,False,False
2292307,http://36d.jp,403,,False,False,False,False,False,False
1077557,http://360channel.jp,200,,False,False,True,False,False,False
2791939,http://35summers.com/,200,https://35summers.com:443/,False,False,False,False,False,False
3956460,http://3710.net/,200,,False,False,False,False,False,False
1668079,http://369plus.com/index.html,200,https://369plus.com/index.html,False,False,False,False,False,False
4680981,http://360-vr.jp,200,https://360-vr.jp/,False,False,False,False,False,False
5287904,http://3500color.com,200,https://seibundo-stationery.com,False,False,True,False,True,False
3464274,http://369order.com/,200,https://369order.com/,False,False,True,False,False,False
3113417,http://365life-realestate.com/,200,https://365life-realestate.com/,False,False,True,False,True,False
4459900,http://3750-2300.com/index.html,200,,False,False,False,False,False,False
5298269,http://37kaiketu.com,200,,False,False,True,False,False,False
558611,http://373cfp.co.jp,200,,False,False,False,False,False,False
